fixture_id,team_id,player_id,position_string,grid_x,grid_y,role,role_profile,side,band
1378978,63,47969,D,2.0,1.0,FB,full-back / wing-back,L,deep
1378978,63,32966,M,3.0,3.0,CM,central / attacking midfielder,C,mid
1378978,63,2279,M,3.0,2.0,DM,defensive midfielder,C,deep
1378978,63,177665,M,3.0,1.0,DM,defensive midfielder,C,deep
1378978,63,19329,F,4.0,3.0,W,wide forward / winger,R,mid
1378978,63,250,F,4.0,2.0,W,wide forward / winger,R,deep
1378978,63,162128,F,4.0,1.0,W,wide forward / winger,R,deep
1378978,63,18885,G,,,GK,goalkeeper,UNK,UNK
1378978,63,1408,D,,,FB,full-back / wing-back,UNK,UNK
1378978,63,19287,D,,,FB,full-back / wing-back,UNK,UNK
1378978,63,50739,M,,,CM,central / attacking midfielder,UNK,UNK
1378978,63,129142,M,,,CM,central / attacking midfielder,UNK,UNK
1378978,63,18901,M,,,CM,central / attacking midfielder,UNK,UNK
1378978,63,19128,F,,,W,wide forward / winger,UNK,UNK
1378978,63,19461,F,,,W,wide forward / winger,UNK,UNK
1378978,63,138776,F,,,W,wide forward / winger,UNK,UNK
1378978,45,2932,G,1.0,1.0,GK,goalkeeper,L,deep
1378978,45,270139,D,2.0,4.0,FB,full-back / wing-back,L,high
1378978,45,2936,D,2.0,3.0,FB,full-back / wing-back,L,mid
1378978,45,2934,D,2.0,2.0,FB,full-back / wing-back,L,deep
1378978,45,895,D,2.0,1.0,FB,full-back / wing-back,L,deep
1378978,45,284500,M,3.0,2.0,DM,defensive midfielder,C,deep
1378978,45,2990,M,3.0,1.0,DM,defensive midfielder,C,deep
1378978,45,195993,M,4.0,3.0,CM,central / attacking midfielder,R,mid
1378978,45,148099,M,4.0,2.0,DM,defensive midfielder,R,deep
1378978,45,18592,M,4.0,1.0,DM,defensive midfielder,R,deep
1378978,45,125743,F,5.0,1.0,W,wide forward / winger,R,deep
1378978,45,18860,G,,,GK,goalkeeper,UNK,UNK
1378978,45,138844,G,,,GK,goalkeeper,UNK,UNK
1378978,45,18758,D,,,FB,full-back / wing-back,UNK,UNK
1378978,45,405360,M,,,CM,central / attacking midfielder,UNK,UNK
1378978,45,19187,M,,,CM,central / attacking midfielder,UNK,UNK
1378978,45,167657,M,,,CM,central / attacking midfielder,UNK,UNK
1378978,45,343684,F,,,W,wide forward / winger,UNK,UNK
1378978,45,18929,F,,,W,wide forward / winger,UNK,UNK
1378978,45,330412,F,,,W,wide forward / winger,UNK,UNK
1378988,48,15870,G,1.0,1.0,GK,goalkeeper,L,deep
1378988,48,138,D,2.0,3.0,FB,full-back / wing-back,L,mid
